batch	timestamp/colllection_interval	acc_x 	acc_y	acc_z	rot_x	rot_y 	rot_z	lat	long	GPS_speed_kmph	GPS_speed_mps	GPS_altitude_km	GPS_altitude_m	GPS_data_time	GPS_hdop_acc	GPS_n_of_satellite	anomaly	speed_level_on_encounter
71	1146	-1.53	0	12.03	-0.02	0.06	0.08	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1150	-1.62	0.65	12.33	-0.03	0.02	0.08	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1155	-1.66	0.18	13.01	-0.07	0	0.07	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1160	-0.34	-0.51	12.6	-0.06	-0.03	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1164	0.5	-0.45	11.44	-0.03	-0.05	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1168	-0.03	0.03	11.2	-0.01	-0.03	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1173	-0.59	0.22	10.78	-0.03	-0.02	0.03	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1177	-0.51	0	10.43	-0.04	-0.05	0.03	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1181	-0.72	-0.22	10.79	-0.06	-0.01	0.02	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1186	-0.71	-0.24	10.12	0	-0.02	0.03	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1190	-0.49	0.59	9.39	-0.01	-0.03	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1194	-0.94	0.88	9.86	-0.03	0.01	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1199	-0.35	0.56	10.17	-0.08	-0.07	0.03	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1204	0.3	-0.03	9.91	-0.12	-0.12	0.02	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1208	0.25	-0.31	10.15	-0.09	-0.07	0.03	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1212	0.19	0.07	10.23	-0.08	-0.04	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1217	-0.4	0.21	10.63	-0.08	-0.09	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1222	0	0.22	10.39	-0.09	-0.13	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1226	0.05	-0.32	10.32	-0.1	-0.07	0.04	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1230	-0.48	-0.4	10.04	-0.06	-0.05	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1234	-0.62	0.39	9.65	-0.02	-0.06	0.06	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1239	-0.82	0.35	9.17	-0.07	-0.11	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1244	-0.48	0.2	7.85	-0.09	-0.14	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1248	0.07	0.41	8.05	-0.1	-0.11	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1252	0.69	0.12	7.75	-0.11	-0.04	0.05	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1257	0.3	0.2	7.85	-0.1	0.04	0.06	7.60077	5.221884	35.484322	9.856755	0.4312	431.200012	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1262	-1.52	0.48	10.88	-0.11	0.18	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1266	0.29	-0.4	9.15	-0.09	-0.07	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1270	-0.24	-0.72	9.95	-0.13	-0.08	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1275	-0.57	-0.94	10.72	-0.09	0.06	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1279	-0.55	-0.63	9.74	-0.06	-0.02	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1283	-0.3	-0.53	9	-0.08	-0.07	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1288	0.43	-0.3	8.49	-0.05	-0.06	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1292	1.07	-0.19	8.52	-0.08	-0.14	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1296	1.29	-0.05	8.14	-0.06	-0.18	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1300	1.01	0.55	8.01	-0.08	-0.2	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1304	0.27	0.61	8.03	-0.09	-0.11	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1308	0.43	0.04	7.81	-0.09	-0.04	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1313	0.46	-0.17	7.81	-0.08	0.07	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1317	0.23	-0.23	7.64	-0.04	0.22	0.08	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1322	-0.62	0.01	10.09	-0.03	0.41	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1326	-0.68	-0.78	9.56	-0.07	-0.26	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1330	-1.19	-0.72	11.09	-0.08	0.29	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1334	2.3	-1.43	8.07	-0.07	-0.23	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1339	-0.04	-0.92	9.97	-0.08	0.14	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:1.695733	1.02	8	ROAD-PATCH	AVERAGE
71	1343	1.04	-0.36	9.51	-0.06	0.27	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1347	0.05	-0.83	10.23	-0.13	-0.17	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1352	0.91	-0.53	9.54	-0.06	0.19	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1357	-0.43	-0.41	10.15	-0.06	0.12	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1361	-1.13	-0.03	10.66	-0.03	0.05	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1365	-0.34	-0.43	9.57	-0.02	0.05	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1369	-0.82	-0.66	9.69	-0.02	0.06	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1373	-1.56	-0.66	10.22	-0.01	0.09	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1378	-1.81	-1.48	10.48	-0.04	0.08	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1383	-1.74	-1.97	11.15	-0.05	0.05	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1387	-1.37	-1.67	11.11	0	0	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1391	-1.1	-0.87	10.72	0.02	0.04	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1396	-1.19	-0.82	10.64	0.01	0.05	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1401	-0.43	-0.4	11.24	0	0.02	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1405	0.12	-0.23	12.44	-0.02	0.04	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1409	-0.22	0.15	13.01	0	0	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1413	-0.78	0.55	12.67	-0.01	0	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1418	-1.06	0.16	11.93	-0.03	0.05	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1423	-1.36	-0.49	12.07	0	0.07	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1427	-1.55	-0.22	12.57	0.02	0.06	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1431	-1.5	-0.1	12.9	0.01	0.06	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1436	-1.55	-0.32	12.27	0.02	0	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1440	-1.13	-0.17	10.91	0.04	0.01	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1444	-0.89	-0.26	10.36	0.04	0	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1449	-1.34	-0.51	10.88	0.03	-0.01	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1453	-1.09	-0.6	11.44	0.05	-0.03	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1457	-0.69	-0.7	11.35	0.04	-0.02	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1462	-0.87	-0.56	11.68	0	-0.02	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1466	-1.3	-0.19	12.49	0.05	-0.03	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
