batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
5,2.34,0.99,8,0.19,-0.07,0.38,2.767711,0,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,3.7,1.4,8.7,0.27,-0.16,0.4,2.767711,24,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,3.94,0.67,11.17,-0.03,0.13,0.46,2.767711,48,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,2.28,0.45,8.29,0.02,0.1,0.05,2.767711,72,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,1.85,1.29,9.5,0.07,0.02,-0.02,2.767711,96,7.285094,5.223166,2.05,07/19/2025 14:39:12:1.770893,smooth,AVERAGE
5,3.28,1.63,9.47,0.01,0.14,0.05,2.767711,120,7.285094,5.223166,2.05,07/19/2025 14:39:12:1.770893,smooth,AVERAGE
5,2.41,0.27,7.98,0.1,0.08,0.03,2.767711,144,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,1.06,1.45,9.64,-0.11,0.22,-0.12,2.767711,168,7.285094,5.223166,2.05,07/19/2025 14:39:12:0.000000,smooth,AVERAGE
5,1.05,0.24,8.95,-0.01,0.12,-0.13,2.767711,192,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,0.32,0.91,8.72,0.11,0.14,-0.13,2.767711,216,7.285094,5.223166,2.05,07/19/2025 14:39:12:-0.000000,smooth,AVERAGE
5,-7.05,2.15,22.03,-0.59,0.38,-0.19,2.937478,240,7.285078,5.223187,2.05,07/19/2025 14:39:13:0.000000,smooth,AVERAGE
5,-1.79,2.03,14.28,-0.16,-0.02,0.02,2.937478,264,7.285078,5.223187,2.05,07/19/2025 14:39:13:0.000000,smooth,AVERAGE
5,0.1,-0.2,9.84,-0.12,-0.13,-0.04,2.937478,288,7.285078,5.223187,2.05,07/19/2025 14:39:13:-0.000000,smooth,AVERAGE
0,1.52,0.19,9.21,0.05,-0.02,-0.04,0,0,0,0,99.989998,00/00/2000 14:42:08:0.000000,smooth,AVERAGE
