batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,GPS_calc_speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
1,0.36,-0.5,10.57,0.03,0.01,-0.02,0,1,0,0,2.94,07/06/2025 15:12:50:3.117733,smooth,AVERAGE
1,1.59,-0.34,12.11,0.06,0.12,-0.02,0,2,0,0,2.94,07/06/2025 15:12:50:-0.000000,smooth,AVERAGE
1,1.58,0.46,9.57,-0.01,0.07,0.01,0,3,0,0,2.94,07/06/2025 15:12:50:-0.000000,smooth,AVERAGE
1,1.87,-0.96,10.04,0.04,-0.01,0.01,0,4,0,0,2.94,07/06/2025 15:12:51:-0.000000,smooth,AVERAGE
1,2.37,-0.09,8.4,0.03,-0.03,0.01,0,5,0,0,2.94,07/06/2025 15:12:51:-0.000000,smooth,AVERAGE
1,2.32,0.38,9.55,0.03,-0.01,0.01,0,6,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,1.46,-1.31,9.81,-0.03,-0.06,-0.01,0,7,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.17,1.07,8.86,0.06,-0.1,0.01,0,8,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.52,-0.74,9.26,0,0.01,0,0,9,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.28,-0.82,8.71,0.05,-0.06,0,0,10,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.55,0.7,9.9,0.07,0.07,0,0,11,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,1.24,-1.7,9.26,-0.02,0.03,0.01,0,12,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.66,-0.17,8.98,0.05,-0.14,0.02,0,13,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,0.37,0.3,9.15,0.05,0.07,-0.02,0,14,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.69,-1.21,9.52,0.06,-0.07,0.01,0,15,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,0.52,1.26,9.53,0.06,-0.03,-0.02,0,16,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,1.4,-0.76,9.79,0.07,0.04,-0.01,0,17,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,4.03,-0.72,7.44,0.02,-0.18,0.02,0,18,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,0.3,0.24,9.55,0.08,-0.05,-0.05,0,19,0,0,2.94,07/06/2025 15:12:51:-0.000000,smooth,AVERAGE
1,2.49,-1.47,7.9,0.04,-0.12,0,0,20,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,1.42,0.81,9.31,0.13,-0.05,0,0,21,0,0,2.94,07/06/2025 15:12:51:-0.000000,smooth,AVERAGE
1,2.5,-0.41,10.5,0.02,-0.07,0,0,22,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
1,2.76,-1.16,7.24,0.05,-0.13,0.01,0,23,0,0,2.94,07/06/2025 15:12:51:0.000000,smooth,AVERAGE
