id,anomaly,latitude,longitude,timestamp
1,smooth,7.602292,5.22204,2025-05-16 20:48:29.600894+00:00
2,smooth,7.602143,5.222027,2025-05-16 20:50:59+00:00
3,crack,7.599964,5.221771,2025-05-16 20:51:38+00:00
4,crack,7.599964,5.221771,2025-05-16 20:52:22+00:00
5,road-patch,7.573648,5.211751,2025-05-16 20:52:58+00:00
6,road-patch,7.573561,5.211741,2025-05-16 20:53:55+00:00
7,crack,7.565581,5.210924,2025-05-16 20:54:41+00:00
8,pothole_mild,7.485468,5.228777,2025-05-16 20:55:39+00:00
9,smooth,7.457922,5.228708,2025-05-16 20:56:12+00:00
10,pothole_mild,7.395209,5.255381,2025-05-29 11:44:40+00:00
11,pothole_mild,7.395143,5.255799,2025-05-30 02:59:58.200517+00:00
12,pothole_mild,7.395154,5.25573,2025-05-30 02:59:58.268889+00:00
13,pothole_mild,7.395162,5.255661,2025-05-30 02:59:58.312084+00:00
14,pothole_mild,7.395167,5.255589,2025-05-30 02:59:58.352126+00:00
15,pothole_mild,7.395198,5.255357,2025-05-30 02:59:58.398156+00:00
16,crack,7.403269,5.245766,2025-05-30 02:59:58.425924+00:00
17,crack,7.404778,5.244338,2025-05-30 02:59:58.454339+00:00
18,crack,7.404853,5.244257,2025-05-30 02:59:58.484542+00:00
19,crack,7.404928,5.244176,2025-05-30 02:59:58.509531+00:00
20,crack,7.405234,5.243863,2025-05-30 02:59:58.534537+00:00
21,pothole_mild,7.414981,5.238975,2025-05-30 02:59:58.559965+00:00
22,pothole_mild,7.415048,5.238965,2025-05-30 02:59:58.591374+00:00
23,pothole_mild,7.41512,5.238949,2025-05-30 02:59:58.627045+00:00
24,pothole_mild,7.415195,5.238929,2025-05-30 02:59:58.650666+00:00
25,smooth,7.422837,5.237033,2025-05-30 02:59:58.693709+00:00
26,smooth,7.423049,5.236989,2025-05-30 02:59:58.723128+00:00
27,crack,7.423465,5.236879,2025-05-30 02:59:58.754950+00:00
28,crack,7.423669,5.236817,2025-05-30 02:59:58.783294+00:00
29,crack,7.42387,5.236751,2025-05-30 02:59:58.818974+00:00
30,smooth,7.443447,5.230791,2025-05-30 02:59:58.867419+00:00
31,smooth,7.443622,5.23078,2025-05-30 02:59:58.894195+00:00
32,smooth,7.443958,5.230761,2025-05-30 02:59:58.922293+00:00
33,smooth,7.444119,5.230752,2025-05-30 02:59:58.954863+00:00
34,smooth,7.444427,5.230736,2025-05-30 02:59:58.996061+00:00
35,crack,7.459921,5.228224,2025-05-30 02:59:59.025738+00:00
36,crack,7.460183,5.228109,2025-05-30 02:59:59.053552+00:00
37,crack,7.460248,5.228091,2025-05-30 02:59:59.099689+00:00
38,bump,7.510305,5.227502,2025-05-30 02:59:59.150909+00:00
39,bump,7.510326,5.227494,2025-05-30 02:59:59.189809+00:00
40,bump,7.51036,5.22748,2025-05-30 02:59:59.217167+00:00
41,bump,7.512895,5.226416,2025-05-30 02:59:59.242350+00:00
42,bump,7.513636,5.2261,2025-05-30 02:59:59.267134+00:00
43,bump,7.513664,5.226088,2025-05-30 02:59:59.293235+00:00
44,bump,7.514995,5.225534,2025-05-30 02:59:59.332634+00:00
45,crack,7.531507,5.220815,2025-05-30 02:59:59.356147+00:00
46,crack,7.531568,5.220784,2025-05-30 02:59:59.383410+00:00
47,crack,7.531634,5.220751,2025-05-30 02:59:59.410672+00:00
48,crack,7.531707,5.220723,2025-05-30 02:59:59.438035+00:00
49,smooth,7.546538,5.217223,2025-05-30 02:59:59.495468+00:00
50,smooth,7.546702,5.217164,2025-05-30 02:59:59.532792+00:00
51,smooth,7.54686,5.217108,2025-05-30 02:59:59.564468+00:00
52,pothole_mild,7.600302,5.221845,2025-05-30 02:59:59.592003+00:00
53,road-patch,7.60068,5.221869,2025-05-30 02:59:59.618248+00:00
54,road-patch,7.60077,5.221884,2025-05-30 02:59:59.655331+00:00
