id,batch_id,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,latitude,longitude,accuracy,timestamp,log_interval,anomaly
4736,71,-1.53,0.0,12.03,-0.02,0.06,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1146,road-patch
4737,71,-1.62,0.65,12.33,-0.03,0.02,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1150,road-patch
4738,71,-1.66,0.18,13.01,-0.07,0.0,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1155,road-patch
4739,71,-0.34,-0.51,12.6,-0.06,-0.03,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1160,road-patch
4740,71,0.5,-0.45,11.44,-0.03,-0.05,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1164,road-patch
4741,71,-0.03,0.03,11.2,-0.01,-0.03,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1168,road-patch
4742,71,-0.59,0.22,10.78,-0.03,-0.02,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1173,road-patch
4743,71,-0.51,0.0,10.43,-0.04,-0.05,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1177,road-patch
4744,71,-0.72,-0.22,10.79,-0.06,-0.01,0.02,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1181,road-patch
4745,71,-0.71,-0.24,10.12,0.0,-0.02,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1186,road-patch
4746,71,-0.49,0.59,9.39,-0.01,-0.03,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1190,road-patch
4747,71,-0.94,0.88,9.86,-0.03,0.01,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1194,road-patch
4748,71,-0.35,0.56,10.17,-0.08,-0.07,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1199,road-patch
4749,71,0.3,-0.03,9.91,-0.12,-0.12,0.02,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1204,road-patch
4750,71,0.25,-0.31,10.15,-0.09,-0.07,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1208,road-patch
4751,71,0.19,0.07,10.23,-0.08,-0.04,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1212,road-patch
4752,71,-0.4,0.21,10.63,-0.08,-0.09,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1217,road-patch
